ne_ip,location,type,ssa,phase,ne_name,ne_id,dcc_ip,software_version,hardware_version,pcb_version,last_upload_time,orig_location
10.121.99.152,APMC-BTS,TN703B,GJ_SSA VDR,PH3,10.121.99.152_APMC-BTS_TN703B_GJ_SSA VDR_PH3,e=11753,10.121.99.152,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-08-29 01:15:02,
10.121.18.112,JAIRAJ BTS,TN703B,GJ_SSA AM,PH1,10.121.18.112_JAIRAJ BTS_TN703B_GJ_SSA AM_PH1,e=30612,10.121.18.112,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-08-23 01:22:18,
10.121.15.166,CHHARODI,TN705B,GJ_SSA AM,PH3,10.121.15.166_CHHARODI_TN705B_GJ_SSA AM_PH3,e=47369,10.121.15.166,2.9.1 load2.9.1_p13,B1,0.0,2026-09-12 01:11:44,
10.121.19.83,PGVCL LAXMINAGAR,TN705B,GJ_SSA RJ,PH3,10.121.19.83_PGVCL LAXMINAGAR_TN705B_GJ_SSA RJ_PH3,e=30633,10.121.19.83,2.9.1 load2.9.1_p13,B1,2.0,2026-08-25 01:24:14,GJ_SSA RJ_PH3
10.121.100.18,TORRENT SUGEN,TN703B,GJ_SSA SR,PH3,10.121.100.18_TORRENT SUGEN_TN703B_GJ_SSA SR_PH3,e=45168,10.121.100.18,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-08-02 01:31:13,
10.121.96.157,NALIYA AF II,TN703B,GJ_SSA BUJ,PH2,10.121.96.157_NALIYA AF II_TN703B_GJ_SSA BUJ_PH2,e=45174,10.121.96.157,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-07-31 01:32:20,
10.121.16.10,Jambusar,TN725B,WTR_AM,PH1,10.121.16.10_Jambusar_TN725B_WTR_AM_PH1,e=798,10.121.16.10,2.9.1 load2.9.1_p13,B1,2.0,2026-08-04 02:00:57,GUJ _AHMD WTR
10.121.97.84,SHINOL,TN705B,GJ_SSA HMR,PH3,10.121.97.84_SHINOL_TN705B_GJ_SSA HMR_PH3,e=29919,10.121.97.84,2.9.1 load2.9.1_p13,B1,2.0,2026-08-02 01:29:21,
10.121.24.179,Atiyawad,TN703B,GJ_SSA VAL,PH3,10.121.24.179_Atiyawad_TN703B_GJ_SSA VAL_PH3,e=16352,10.121.24.179,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-09-06 01:08:33,
10.121.99.6,HALWAD,TN725B,GJ_SSA SEN,PH3,10.121.99.6_HALWAD_TN725B_GJ_SSA SEN_PH3,e=17066,10.121.99.6,2.9.1 load2.9.1_p13,B1,2.0,2026-08-26 01:26:31,GUJ_SEN SSA_PH3
10.121.96.90,Bhadbhut,TN703B,GJ_SSA BCH,PH3,10.121.96.90_Bhadbhut_TN703B_GJ_SSA BCH_PH3,e=17230,10.121.96.90,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-09-11 01:15:38,
10.121.18.253,New Kudasan,TN725B,GJ_SSA AM,PH1,10.121.18.253_New Kudasan_TN725B_GJ_SSA AM_PH1,e=17288,10.121.18.253,2.9.1 load2.9.1_p13,B1,0.0,2026-07-30 01:51:25,GUJ_AHMD SSA_PH3
10.121.18.99,Signature ZTE BTS,TN703B,GJ_SSA AM,PH2,10.121.18.99_Signature ZTE BTS_TN703B_GJ_SSA AM_PH2,e=17699,10.121.18.99,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2025-12-21 01:33:24,
10.121.98.135,WAV,TN705B,GJ_SSA PNP,PH3,10.121.98.135_WAV_TN705B_GJ_SSA PNP_PH3,e=18542,10.121.98.135,2.9.1 load2.9.1_p13,B1,2.0,2026-08-23 01:18:26,GUJ_PALANPUR SSA_PH3
10.121.18.114,KRISHNA ENTERPRISE,TN703B,GJ_SSA AM,PH3,10.121.18.114_KRISHNA ENTERPRISE_TN703B_GJ_SSA AM_PH3,e=30660,10.121.18.114,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-08-16 01:13:44,
10.121.20.45,JMC,TN703B,GJ_SSA JMN,PH2,10.121.20.45_JMC_TN703B_GJ_SSA JMN_PH2,e=18349,10.121.20.45,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-08-18 01:31:55,GUJ_JAMNAGAR SSA
10.121.68.86,SAMGAHAN,TN725B,GJ_SSA VAL,PH3,10.121.68.86_SAMGAHAN_TN725B_GJ_SSA VAL_PH3,e=26379,10.121.68.86,2.9.1 load2.9.1_p13,B1,0.0,2026-07-28 01:32:36,
10.121.18.164,GUJ TOURISM,TN703B,GJ_SSA AM,PH3,10.121.18.164_GUJ TOURISM_TN703B_GJ_SSA AM_PH3,e=39969,10.121.18.164,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-06-17 01:28:45,
10.121.97.204,Maljinjava,TN705B,GJ_SSA JND,PH3,10.121.97.204_Maljinjava_TN705B_GJ_SSA JND_PH3,e=30678,10.121.97.204,2.9.1 load2.9.1_p13,B1,2.0,2026-08-31 01:04:20,GJ_SSA JND
10.121.97.129,Mehulnagar ALB,TN725B,GJ_SSA JMN,PH3,10.121.97.129_Mehulnagar ALB_TN725B_GJ_SSA JMN_PH3,e=11975,10.121.97.129,2.9.1 load2.9.1_p13,B1,2.0,2026-09-11 01:32:03,SSA JAMNAGAR_PH3
10.121.96.137,Dayapar,TN705B,GJ_SSA BUJ,PH3,10.121.96.137_Dayapar_TN705B_GJ_SSA BUJ_PH3,e=14143,10.121.96.137,2.9.1 load2.9.1_p13,B1,2.0,2026-08-30 01:18:07,GUJ_BHUJ SSA_PH3
10.121.25.162,MEHTAPURA,TN705B,GJ_SSA HMR,PH2,10.121.25.162_MEHTAPURA_TN705B_GJ_SSA HMR_PH2,e=4378,10.121.25.162,2.9.1 load2.9.1_p13,B1,0.0,2026-08-09 01:45:16,Gujrat
10.121.68.87,SAKARPATAL,TN705B,GJ_SSA VAL,PH3,10.121.68.87_SAKARPATAL_TN705B_GJ_SSA VAL_PH3,e=26367,10.121.68.87,2.9.1 load2.9.1_p13,B1,0.0,2026-09-01 01:19:07,
10.121.17.160,MAHUVA,TN705B,WTR_RJ,PH3,10.121.17.160_MAHUVA_TN705B_WTR_RJ_PH3,e=13931,10.121.17.160,2.9.1 load2.9.1_p13,B1,2.0,2026-09-01 01:21:57,GUJ_RAJKOT WTR_PH3
10.121.24.105,BSF KODKI,TN703B,GJ_SSA BUJ,PH2,10.121.24.105_BSF KODKI_TN703B_GJ_SSA BUJ_PH2,e=30404,10.121.24.105,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-09-12 01:28:34,
10.121.25.138,Takarwada,TN703B,GJ_SSA PNP,PH2,10.121.25.138_Takarwada_TN703B_GJ_SSA PNP_PH2,e=15069,10.121.25.138,2.9.1 Rev.A load2.9.1_p14,B1,2.0,2026-06-24 01:36:09,
10.121.96.78,Amod,TN705B,GJ_SSA BCH,PH3,10.121.96.78_Amod_TN705B_GJ_SSA BCH_PH3,e=15101,10.121.96.78,2.9.1 load2.9.1_p13,B1,2.0,2026-09-01 01:09:51,GUJ-BHARUCH SSA-PH3
10.121.25.90,KAMANA BTS,TN703B,GJ_SSA MEH,PH2,10.121.25.90_KAMANA BTS_TN703B_GJ_SSA MEH_PH2,e=3895,10.121.25.90,2.9.1 Rev.B load2.9.1_p14,B1,0.0,2026-07-24 01:24:10,GUJ _MEHSANA  SSA
