Index,Object Fid,Last Upload Time,NE Name,NE ID,NE Type,DCC IP,Net Mask,Software Version,Hardware Version,PCB Version,Manufacture Date,Location,
849,\10.121.25.102_SIPOR EXCH_TN703B_GJ_SSA MEH_PH2,2026-09-03 01:26:54,10.121.25.102_SIPOR EXCH_TN703B_GJ_SSA MEH_PH2,\e=9957,TN703B R2.9.2 Rev.B,10.121.25.102,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
850,\10.121.19.149_SYNDICATE BTS_TN703B_GJ_SSA VDR_PH2,2026-09-01 01:20:55,10.121.19.149_SYNDICATE BTS_TN703B_GJ_SSA VDR_PH2,\e=6823,TN703B R2.9.2 Rev.B,10.121.19.149,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ _VADODARA  SSA,
851,\10.121.16.211_BASKA_TN705B_GJ_SSA GDH_PH2,2026-08-31 01:03:27,10.121.16.211_BASKA_TN705B_GJ_SSA GDH_PH2,\e=37732,TN705B R2.9.2,10.121.16.211,,2.9.1 load2.9.1_p13,B1,0,,,
852,\10.121.96.93_Grasim Chem Vilayat_TN703B_GJ_SSA BCH_PH3,2026-08-25 01:30:57,10.121.96.93_Grasim Chem Vilayat_TN703B_GJ_SSA BCH_PH3,\e=18012,TN703B R2.9.2 Rev.B,10.121.96.93,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ_BHARUCH SSA_PH3,
853,\10.121.96.74_IKHAR B1_TN705B_GJ_SSA BCH_PH3,2026-09-09 01:05:54,10.121.96.74_IKHAR B1_TN705B_GJ_SSA BCH_PH3,\e=24853,TN705B R2.9.2,10.121.96.74,,2.9.1 load2.9.1_p13,B1,2,,SSA BHARUCH_PH3,
854,\10.121.96.17_Jesingpara 1_TN703B_GJ_SSA AMR_PH2,2026-08-27 01:22:29,10.121.96.17_Jesingpara 1_TN703B_GJ_SSA AMR_PH2,\e=17556,TN703B R2.9.2 Rev.B,10.121.96.17,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
855,\10.121.25.109_MOTICHANDUR_TN703B_GJ_SSA MEH_PH2,2026-08-28 01:27:07,10.121.25.109_MOTICHANDUR_TN703B_GJ_SSA MEH_PH2,\e=14900,TN703B R2.9.2 Rev.B,10.121.25.109,,2.9.1 Rev.B load2.9.1_p14,B1,0,,GUJ-MEHSANA SSA-PH3,
856,\10.121.16.207_Volmont_TN703B_GJ_SSA GDH_PH2,2026-08-30 01:01:43,10.121.16.207_Volmont_TN703B_GJ_SSA GDH_PH2,\e=37738,TN703B R2.9.2 Rev.B,10.121.16.207,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
857,\10.121.98.130_PALANPUR B2_TN725B_GJ_SSA PNP_PH3,2026-07-09 01:30:18,10.121.98.130_PALANPUR B2_TN725B_GJ_SSA PNP_PH3,\e=12659,TN725B R2.9.2,10.121.98.130,,2.9.1 load2.9.1_p13,B1,2,,GUJ_PALANPUR SSA_PH3,
858,\10.121.96.67_PIPALIYA_TN705B_GJ_SSA BCH_PH3,2026-08-11 01:23:08,10.121.96.67_PIPALIYA_TN705B_GJ_SSA BCH_PH3,\e=24928,TN705B R2.9.2,10.121.96.67,,2.9.1 load2.9.1_p13,B1,2,,GUJ SSA _BHARUCH SSA,
859,\10.121.16.206_Lisega_TN703B_GJ_SSA GDH_PH2,2026-04-16 01:01:09,10.121.16.206_Lisega_TN703B_GJ_SSA GDH_PH2,\e=37756,TN703B R2.9.2 Rev.B,10.121.16.206,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
860,\10.121.68.94_UNAI_TN705B_GJ_SSA VAL_PH3,2026-09-01 01:09:04,10.121.68.94_UNAI_TN705B_GJ_SSA VAL_PH3,\e=27564,TN705B R2.9.2,10.121.68.94,,2.9.1 load2.9.1_p13,B1,2,,,
861,\10.121.100.34_UKAIADMIN_TN703B_GJ_SSA SR_PH3,2026-08-30 01:02:12,10.121.100.34_UKAIADMIN_TN703B_GJ_SSA SR_PH3,\e=27949,TN703B R2.9.2 Rev.B,10.121.100.34,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
862,\10.121.100.33_FSG_TN703B_GJ_SSA SR_PH3,2026-09-08 01:03:18,10.121.100.33_FSG_TN703B_GJ_SSA SR_PH3,\e=27948,TN703B R2.9.2 Rev.B,10.121.100.33,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
863,\10.121.19.44_ZYDUS COLLEGE_TN703B_GJ_SSA GDH_PH2,2026-07-26 01:20:04,10.121.19.44_ZYDUS COLLEGE_TN703B_GJ_SSA GDH_PH2,\e=28055,TN703B R2.9.2 Rev.B,10.121.19.44,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
864,\10.121.68.74_GUNJAN BTS_TN703B_GJ_SSA VAL_PH3,2026-07-26 01:15:50,10.121.68.74_GUNJAN BTS_TN703B_GJ_SSA VAL_PH3,\e=28208,TN703B R2.9.2 Rev.B,10.121.68.74,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
865,\10.121.98.133_AMIRGADH_TN705B_GJ_SSA PNP_PH3,2026-07-02 01:18:10,10.121.98.133_AMIRGADH_TN705B_GJ_SSA PNP_PH3,\e=28442,TN705B R2.9.2,10.121.98.133,,2.9.1 load2.9.1_p13,B1,2,,,
866,\10.121.68.78_GEB BALITHA_TN703B_GJ_SSA VAL_PH3,2026-09-09 01:06:46,10.121.68.78_GEB BALITHA_TN703B_GJ_SSA VAL_PH3,\e=28212,TN703B R2.9.2 Rev.B,10.121.68.78,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
867,\10.121.68.77_SLDC BALITHA_TN703B_GJ_SSA VAL_PH3,2026-07-28 01:14:03,10.121.68.77_SLDC BALITHA_TN703B_GJ_SSA VAL_PH3,\e=28211,TN703B R2.9.2 Rev.B,10.121.68.77,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
868,\10.121.15.193_Mehsana3(GNE)_TN725B_WTR_AM_PH1,2026-08-13 01:13:07,10.121.15.193_Mehsana3(GNE)_TN725B_WTR_AM_PH1,\e=344,TN725B R2.9.2,10.121.15.193,,2.9.1 load2.9.1_p13,B1,0,,GUJ _AHMD WTR,
869,\10.121.19.106_PrincePalaceBTS_TN703B_GJ_SSA RJ_PH3,2026-03-07 02:17:21,10.121.19.106_PrincePalaceBTS_TN703B_GJ_SSA RJ_PH3,\e=32540,TN703B R2.9.2 Rev.B,10.121.19.106,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
870,\10.121.19.108_CHANDRALOK BTS_TN703B_GJ_SSA RJ_PH3,2026-06-05 01:26:00,10.121.19.108_CHANDRALOK BTS_TN703B_GJ_SSA RJ_PH3,\e=32547,TN703B R2.9.2 Rev.B,10.121.19.108,,2.9.1 Rev.B load2.9.1_p14,B1,0,,,
